Калининград,498260
Чебоксары,497920
Липецк,496447
Тула,461245
Ставрополь,458233
Курск,447387
Улан-Удэ,436406
Сочи,433562
Тверь,424912
Магнитогорск,411984
Иваново,399983
Брянск,396343
Сургут,395940
Белгород,391804
Чита,350047
Владимир,348663
Архангельск,342164
Якутск,341221
Нижний Тагил,340690
Калуга,335599
Симферополь,334856
Грозный,326439
Волжский,321427
Саранск,317681
Смоленск,317170
Подольск,309652
Череповец,309429
Вологда,306593
Курган,304727
Владикавказ,298841
Орел,298172
Тамбов,287407
Петрозаводск,280890
Нижневартовск,280834
Йошкар-Ола,279399
Мурманск,279064
Новороссийск,277185
Кострома,277021
Стерлитамак,275022
Мытищи,262702
Химки,256319
