Зеленодольск,99922
Железногорск,99774
Елец,99208
Новокуйбышевск,98373
Тобольск,98155
Сергиев Посад,96384
Воткинск,96105
Саров,96099
Анапа,95873
Междуреченск,95386
Михайловск,94553
Серов,93852
Сарапул,93380
Воскресенск,92023
Ленинск-Кузнецкий,91619
Магадан,91432
Глазов,91247
Ухта,91066
Соликамск,90982
Великие Луки,90084
Мурино,89636
Лобня,88974
Мичуринск,88730
Гатчина,87626
Канск,87578
Каменск-Шахтинский,85982
Бузулук,85773
Губкин,85588
Ивантеевка,83881
Киселёвск,83668
Ейск,83216
Чайковский,81306
Новотроицк,81229
Видное,80964
Бугульма,80345
Железногорск,80281
Клин,80225
Юрга,79705
Кузнецк,79045
Новоуральск,79002
Азов,78760
Усть-Илимск,78718
Кинешма,78383
Озёрск,77808
Ялта,77752
Всеволожск,76611
Верхняя Пышма,76389
Бор,76297
Кропоткин,76295
Черногорск,75364
Геленджик,75136
Новоалтайск,74553
Елабуга,74181
Балашов,74098
Дубна,74025
Усолье-Сибирское,73809
Шадринск,73570
Егорьевск,73020
Выборг,73001
Минеральные Воды,72423
Троицк,72279
Белово,70102
Чапаевск,70096
Чехов,69843
Наро-Фоминск,69421
Когалым,69258
Биробиджан,68919
Феодосия,68218
Туймазы,68184
Дмитров,67499
Славянск-на-Кубани,67252
Сунжа,67142
Буйнакск,67091
Кирово-Чепецк,67067
Кстово,66464
Минусинск,66199
Сосновый Бор,65941
Анжеро-Судженск,65732
Заречный,65318
Урус-Мартан,65313
Ступино,64946
Горно-Алтайск,64558
Георгиевск,64433
Белорецк,64031
Кунгур,63631
Ишим,63629
Белогорск,63575
Ишимбай,63132
Избербаш,62349
Клинцы,62242
Котлас,62221
Павловский Посад,62017
Берёзовский,61909
Россошь,61849
Асбест,61580
Сертолово,61260
Гуково,61199
Зеленогорск,61150
Лениногорск,60717
Донской,60693
Лыткарино,60561
Туапсе,60440
Ревда,60119
Вольск,59861
Сибай,59624
Будённовск,59570
Нерюнгри,59551
Полевской,59112
Кумертау,58874
Белебей,58874
Лысьва,58818
Прохладный,58697
Фрязино,58540
Нягань,58536
Лесосибирск,58415
Крымск,58292
Гудермес,58275
Чистополь,58228
Лабинск,57273
Борисоглебск,57160
Шали,57032
Тихвин,56716
Михайловка,56270
Александров,56240
Алексин,56156
Краснотурьинск,55664
Сальск,55543
Мелеуз,55424
Щёкино,55404
Павлово,55359
Тихорецк,55243
Ржев,55059
Североморск,55005
Шуя,54973
Искитим,54757
Кудрово,54471
Котельники,53037
Апатиты,52762
Дзержинский,52630
Выкса,52531
Вязьма,52111
Лиски,52040
Снежинск,52009
Свободный,52002
Салехард,51972
Волжск,51912
Краснокаменск,51598
Воркута,51321
Арсеньев,51180
Белореченск,51086
Краснокамск,51058
Гусь-Хрустальный,50806
Тимашёвск,50149
